job_id,tool_id,tool_version,state,memory.max_usage_in_bytes,cpuacct.usage,process_count,galaxy_slots,runtime_seconds,ref_data_size,input_data_size_1,input_data_size_2
e5f045112bb5cc48,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,59653529600.0000000,28873443998675.0000000,48.0000000,32.0000000,1132.0000000,0,5623417156,5917669619
3cf861e436249625,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,29527564288.0000000,62087364713202.0000000,48.0000000,32.0000000,2167.0000000,0,5623417156,5917669619
e26f7532c14e80e1,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,17179762688.0000000,116156431926256.0000000,48.0000000,4.0000000,29151.0000000,0,5623417156,5917669619
0492fc10a47beed5,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,17179869184.0000000,18800470935070.0000000,32.0000000,4.0000000,5058.0000000,0,5623417156,5917669619
e53ef47d10097885,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,17178550272.0000000,96063009481.0000000,48.0000000,4.0000000,182.0000000,0,5623417156,5917669619
fed3cee51a9c7ba4,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,31762075648.0000000,61622555930708.0000000,48.0000000,8.0000000,7854.0000000,0,5623417156,5917669619
4c71d90a59795433,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,error,0,0,0,0,0,0,5623417156,5917669619
c1db49ea3122e06c,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,28309938176.0000000,27624858937365.0000000,48.0000000,8.0000000,3648.0000000,0,5623417156,5917669619
21b1dbe8b902d0b5,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,34359533568.0000000,71107617865702.0000000,48.0000000,8.0000000,9119.0000000,0,5623417156,5917669619
7549c3b780c62134,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,error,11388575744.0000000,4672175041.0000000,48.0000000,4.0000000,189.0000000,0,5623417156,5917669619
aa3f73aa1b1f15e5,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,error,0,0,0,0,0,0,5623417156,5917669619
9d2b22e78f00c281,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,48366776320.0000000,24619585159351.0000000,32.0000000,16.0000000,1960.0000000,0,5623417156,5917669619
cb91623b49275c63,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,42085969920.0000000,122159787341152.0000000,48.0000000,16.0000000,7998.0000000,0,5623417156,5917669619
47d03c67cad0b2d8,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,17179152384.0000000,58519839518703.0000000,48.0000000,4.0000000,14758.0000000,0,5623417156,5917669619
fbd7664240350991,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,34359635968.0000000,35105255881147.0000000,48.0000000,8.0000000,4610.0000000,0,5623417156,5917669619
b8991d7d01ee474a,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,error,7303872512.0000000,3155467569.0000000,48.0000000,8.0000000,180.0000000,0,5623417156,5917669619
30479617cae3f2c1,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,23936286720.0000000,32769640318713.0000000,32.0000000,16.0000000,2368.0000000,0,5623417156,5917669619
4b161d4b4fdf784a,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,36508614656.0000000,30261893334069.0000000,48.0000000,16.0000000,2102.0000000,0,5623417156,5917669619
84c5253c5cc976c9,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,27681845248.0000000,27687202735146.0000000,32.0000000,8.0000000,3785.0000000,0,5623417156,5917669619
8d9b06fc7b80a2c4,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,34358984704.0000000,27190960537035.0000000,48.0000000,8.0000000,3491.0000000,0,5623417156,5917669619
7b6217c99f2332d8,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,34358874112.0000000,93667243175211.0000000,48.0000000,8.0000000,11865.0000000,0,5623417156,5917669619
054b3869f440c1b8,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,34359508992.0000000,119314035907783.0000000,48.0000000,8.0000000,15022.0000000,0,5623417156,5917669619
71d3e37a9e8114d5,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,41007611904.0000000,60611235794086.0000000,32.0000000,16.0000000,4060.0000000,0,5623417156,5917669619
13e4e5a298f9033c,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,34358718464.0000000,111043571480560.0000000,48.0000000,8.0000000,14184.0000000,0,5623417156,5917669619
d423f7dfc94c9553,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,29144539136.0000000,31941995082330.0000000,48.0000000,16.0000000,2225.0000000,0,5623417156,5917669619
